,LAT,Year,LONG,LC1,LC2,LAND_MNGT,CLASS,Country
27658,42.35946,2012,13.47345,C10,8,2.0,Forest,Italy
27659,42.66617,2012,13.49124,C10,8,2.0,Forest,Italy
27660,43.57274,2012,13.39699,C10,8,2.0,Forest,Italy
27661,41.60378,2012,13.35887,C10,8,2.0,Forest,Italy
27662,41.94683,2012,13.37771,C10,8,2.0,Forest,Italy
27663,42.03708,2012,13.38272,C10,8,2.0,Forest,Italy
27664,42.6842,2012,13.4923,C10,8,2.0,Forest,Italy
27665,42.73832,2012,13.49547,C33,8,2.0,Forest,Italy
27666,42.77439,2012,13.49759,C10,8,2.0,Forest,Italy
27667,42.8285,2012,13.50077,C10,8,2.0,Forest,Italy
27668,42.84654,2012,13.50183,C10,8,2.0,Forest,Italy
27669,45.89596,2012,13.54034,C10,8,2.0,Forest,Italy
27670,46.09388,2012,13.55331,C10,8,2.0,Forest,Italy
27671,46.12986,2012,13.55568,C10,8,2.0,Forest,Italy
27672,42.32584,2012,13.39888,C10,8,2.0,Forest,Italy
27673,42.52432,2012,13.41011,C10,8,2.0,Forest,Italy
